Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2026,Bosnia & Herzegovina,Qatar,2026-06-24 00:00:00,20:00:00,3,1,2,1,1,,,,,,90 minutes,14,9,5,3,9,14,5,5,1,1,,,0.68,0.77,1.4,5,7,1.45,5.2,8,1.45,5.2,8,1.4,4.87,7.02
World Cup 2026,Switzerland,Canada,2026-06-24 00:00:00,20:00:00,2,1,,,2,1,,,,,90 minutes,6,13,4,7,19,13,2,7,1,2,,,1.12,1.66,2.6,3,3,2.7,3,3.3,2.6,3.1,3.25,2.47,2.95,3.11
World Cup 2026,Morocco,Haiti,2026-06-24 00:00:00,23:00:00,4,2,2,2,2,,,,,,90 minutes,22,9,11,2,10,18,9,1,,3,,,3.76,1.22,1.33,5.5,9,1.32,6,12,1.33,6.25,12,1.28,5.66,9.93
World Cup 2026,Scotland,Brazil,2026-06-24 00:00:00,23:00:00,,3,,2,,1,,,,,90 minutes,14,21,5,9,10,11,7,6,1,2,,,1.05,4.34,10,5.5,1.29,11.5,5.6,1.35,11,5.75,1.35,9.9,5.28,1.3
World Cup 2026,Czech Republic,Mexico,2026-06-25 00:00:00,02:00:00,,3,,,,3,,,,,90 minutes,13,11,1,5,9,13,5,1,,1,,,0.48,1.75,4.2,3.9,1.75,4.9,4.1,1.79,4.85,4,1.77,4.42,3.84,1.73
World Cup 2026,South Africa,South Korea,2026-06-25 00:00:00,02:00:00,1,,,,1,,,,,,90 minutes,13,8,4,3,7,9,4,6,1,1,,,1.16,0.91,5.25,3.75,1.67,5.8,3.8,1.76,6,3.75,1.7,5.42,3.64,1.66
World Cup 2026,Curacao,Ivory Coast,2026-06-25 00:00:00,21:00:00,,2,,1,,1,,,,,90 minutes,11,7,2,3,11,6,4,6,2,1,,,0.5,1.31,15,8,1.17,18.5,8.6,1.2,19,8.25,1.19,16.09,7.72,1.16
World Cup 2026,Ecuador,Germany,2026-06-25 00:00:00,21:00:00,2,1,1,1,1,,,,,,90 minutes,7,11,3,3,15,10,3,2,3,1,,,1.27,0.65,4.33,4.2,1.7,4.6,4.5,1.77,4.7,4.33,1.75,4.25,4.14,1.71
World Cup 2026,Japan,Sweden,2026-06-26 00:00:00,00:00:00,1,1,,,1,1,,,,,90 minutes,8,11,3,5,20,11,2,8,1,2,,,1.21,0.64,2.4,3.2,3.1,2.4,3.5,3.3,2.4,3.6,3.4,2.26,3.35,3.13
World Cup 2026,Tunisia,Netherlands,2026-06-26 00:00:00,00:00:00,1,3,,2,1,1,,,,,90 minutes,10,20,4,7,11,10,4,6,,,,,0.62,1.84,21,8,1.14,25,11,1.14,21,12,1.17,16.63,8.56,1.14
World Cup 2026,Paraguay,Australia,2026-06-26 00:00:00,03:00:00,,,,,,,,,,,90 minutes,7,12,2,5,9,6,1,3,1,1,,,0.24,0.55,2.55,2.4,4.1,2.64,2.5,4.4,2.63,2.45,4.33,2.52,2.34,4.1
World Cup 2026,Turkey,USA,2026-06-26 00:00:00,03:00:00,3,2,2,1,1,1,,,,,90 minutes,9,18,3,7,13,13,2,9,,1,,,3,2.12,3.2,4,2.05,3.25,4.1,2.2,3.6,4,2.1,3.22,3.81,2.04
World Cup 2026,Norway,France,2026-06-26 00:00:00,20:00:00,1,4,1,3,,1,,,,,90 minutes,10,18,4,9,9,11,4,5,1,1,,,1.7,1.5,7,5.5,1.36,8.2,6,1.39,8,6,1.4,7.02,5.44,1.36
